timestamp,forecast_load
2022-07-30 01:00:00,16342.39
2022-07-30 02:00:00,15909.84
2022-07-30 03:00:00,15798.308
2022-07-30 04:00:00,15764.08
2022-07-30 05:00:00,15417.494
2022-07-30 06:00:00,15365.394
2022-07-30 07:00:00,15485.495
2022-07-30 08:00:00,15617.672
2022-07-30 09:00:00,15823.068
2022-07-30 10:00:00,15951.279
2022-07-30 11:00:00,16171.6875
2022-07-30 12:00:00,16270.939
2022-07-30 13:00:00,16471.424
2022-07-30 14:00:00,16613.422
2022-07-30 15:00:00,16534.414
2022-07-30 16:00:00,16615.676
2022-07-30 17:00:00,16718.47
2022-07-30 18:00:00,16567.26
2022-07-30 19:00:00,16524.066
2022-07-30 20:00:00,16378.347
2022-07-30 21:00:00,16094.574
2022-07-30 22:00:00,15769.307
2022-07-30 23:00:00,15442.39
2022-07-31 00:00:00,15197.536
