timestamp,forecast_load
2024-07-30 01:00:00,12662.638
2024-07-30 02:00:00,12222.981
2024-07-30 03:00:00,12003.242
2024-07-30 04:00:00,12028.331
2024-07-30 05:00:00,12173.394
2024-07-30 06:00:00,12538.696
2024-07-30 07:00:00,12902.357
2024-07-30 08:00:00,13437.869
2024-07-30 09:00:00,13870.054
2024-07-30 10:00:00,14182.592
2024-07-30 11:00:00,14645.939
2024-07-30 12:00:00,15102.401
2024-07-30 13:00:00,15533.908
2024-07-30 14:00:00,15975.83
2024-07-30 15:00:00,16360.198
2024-07-30 16:00:00,16861.355
2024-07-30 17:00:00,17063.678
2024-07-30 18:00:00,17251.656
2024-07-30 19:00:00,17064.404
2024-07-30 20:00:00,16639.86
2024-07-30 21:00:00,16071.223
2024-07-30 22:00:00,15282.435
2024-07-30 23:00:00,14411.686
2024-07-31 00:00:00,13466.322
